od_source,metric,direction,scenario,delta
train,Distance_JSD,distilled_better,suburban,-0.10549348078100074
train,Distance_JSD,distilled_better,weekend,-0.12609962441817327
train,Distance_JSD,distilled_better,off_peak,-0.12617591801354805
train,Distance_JSD,distilled_better,weekday,-0.12877406391380014
train,Distance_JSD,distilled_better,peak,-0.12922668480943267
train,Distance_JSD,vanilla_better,from_center,-0.2427288122101496
train,Distance_JSD,vanilla_better,to_center,-0.19172214402397839
train,Distance_JSD,vanilla_better,city_center,-0.17751337779344692
train,Distance_JSD,vanilla_better,within_center,-0.14834524158549578
train,Distance_JSD,vanilla_better,peak,-0.12922668480943267
train,match_rate,distilled_better,to_center,85.38012506119131
train,match_rate,distilled_better,within_center,84.08387548567813
train,match_rate,distilled_better,city_center,83.19592552122381
train,match_rate,distilled_better,from_center,80.54378728941253
train,match_rate,distilled_better,weekday,79.8585772962863
train,match_rate,vanilla_better,suburban,77.6959528068716
train,match_rate,vanilla_better,weekend,79.15639290531135
train,match_rate,vanilla_better,peak,79.54776422764228
train,match_rate,vanilla_better,off_peak,79.72814286469843
train,match_rate,vanilla_better,weekday,79.8585772962863
train,Radius_JSD,distilled_better,suburban,-0.1665739251813744
train,Radius_JSD,distilled_better,off_peak,-0.19428330326727936
train,Radius_JSD,distilled_better,peak,-0.1945531150691877
train,Radius_JSD,distilled_better,weekend,-0.19476393291464872
train,Radius_JSD,distilled_better,weekday,-0.19487860318135902
train,Radius_JSD,vanilla_better,from_center,-0.31901110248886383
train,Radius_JSD,vanilla_better,to_center,-0.27465537675807217
train,Radius_JSD,vanilla_better,city_center,-0.2566654265619749
train,Radius_JSD,vanilla_better,within_center,-0.19803114595796859
train,Radius_JSD,vanilla_better,weekday,-0.19487860318135902
